,Dates,variable,value
568,1993-03-30,PCA1,0.4584316989717173
569,1993-03-31,PCA1,0.4493335132045455
570,1993-04-01,PCA1,0.4355572897019066
571,1993-04-02,PCA1,0.43287027761600955
572,1993-04-05,PCA1,0.4162760342704636
573,1993-04-06,PCA1,0.4109126206588043
574,1993-04-07,PCA1,0.40679522140986984
575,1993-04-08,PCA1,0.4115295424040766
576,1993-04-09,PCA1,0.4117512099858585
577,1993-04-12,PCA1,0.4142835718053739
578,1993-04-13,PCA1,0.41323637627752685
579,1993-04-14,PCA1,0.4388771808057448
580,1993-04-15,PCA1,0.44268259407807914
581,1993-04-16,PCA1,0.4476124719348708
582,1993-04-19,PCA1,0.45056089856631587
583,1993-04-20,PCA1,0.4521618242411455
584,1993-04-21,PCA1,0.446252459768575
585,1993-04-22,PCA1,0.44433220675627805
586,1993-04-23,PCA1,0.4425819237388501
587,1993-04-26,PCA1,0.4392074556627708
588,1993-04-27,PCA1,0.43319859874145444
589,1993-04-28,PCA1,0.42819757749761095
590,1993-04-29,PCA1,0.42188424269653774
591,1993-04-30,PCA1,0.4237609169452076
592,1993-05-03,PCA1,0.4251276026405834
593,1993-05-04,PCA1,0.4239512191373304
594,1993-05-05,PCA1,0.4209254319604715
595,1993-05-06,PCA1,0.41798752235675674
596,1993-05-07,PCA1,0.41958720173601893
597,1993-05-10,PCA1,0.42056746080794344
598,1993-05-11,PCA1,0.42183373622146
599,1993-05-12,PCA1,0.41879327684732015
600,1993-05-13,PCA1,0.42739657911334866
601,1993-05-14,PCA1,0.4340511798613685
602,1993-05-17,PCA1,0.43634724867484775
603,1993-05-18,PCA1,0.4494004864450644
604,1993-05-19,PCA1,0.451125606112798
605,1993-05-20,PCA1,0.4635805303657683
606,1993-05-21,PCA1,0.4628989558303926
607,1993-05-24,PCA1,0.4647632384736175
